longitude,latitude,depth,vsv,vp
-99.25,27.5,100.0,4.5089,8.06718
-99.0,27.5,100.0,4.47512,8.00509
-98.75,27.5,100.0,4.45193,7.96172
-98.5,27.5,100.0,4.44123,7.9328
-98.25,27.5,100.0,4.4488,7.94202
-98.0,27.5,100.0,4.46363,8.00234
-97.75,27.5,100.0,4.47237,8.0181
-97.5,27.5,100.0,4.48832,8.01405
-97.25,27.5,100.0,4.49905,8.03855
-97.0,27.5,100.0,4.50647,8.05528
-96.75,27.5,100.0,4.51332,8.06998
-82.75,27.5,100.0,4.58431,8.20082
-82.5,27.5,100.0,4.5837,8.20004
-82.25,27.5,100.0,4.5839,8.20049
-82.0,27.5,100.0,4.59323,8.2173
-81.75,27.5,100.0,4.59977,8.22905
-81.5,27.5,100.0,4.60136,8.23194
-81.25,27.5,100.0,4.59885,8.22759
-81.0,27.5,100.0,4.60073,8.23096
-80.75,27.5,100.0,4.60054,8.2306
-80.5,27.5,100.0,4.60387,8.23665
-80.25,27.5,100.0,4.60303,8.235
-100.0,27.75,100.0,4.56242,8.16079
-99.75,27.75,100.0,4.55131,8.14328
-99.5,27.75,100.0,4.53714,8.11839
-99.25,27.75,100.0,4.51896,8.0857
-99.0,27.75,100.0,4.48608,8.02563
-98.75,27.75,100.0,4.46205,7.9817
-98.5,27.75,100.0,4.45112,7.95948
-98.25,27.75,100.0,4.46758,7.98984
-98.0,27.75,100.0,4.48729,8.02615
-97.75,27.75,100.0,4.50542,8.05844
-97.5,27.75,100.0,4.50861,8.06298
-97.25,27.75,100.0,4.51027,8.0661
-97.0,27.75,100.0,4.51207,8.07027
-82.75,27.75,100.0,4.58427,8.1996
-82.5,27.75,100.0,4.58249,8.19666
-82.25,27.75,100.0,4.58293,8.19777
-82.0,27.75,100.0,4.59247,8.21527
-81.75,27.75,100.0,4.60228,8.23313
-81.5,27.75,100.0,4.61034,8.2477
-81.25,27.75,100.0,4.58997,8.21052
-81.0,27.75,100.0,4.57767,8.18793
-80.75,27.75,100.0,4.56761,8.17
-80.5,27.75,100.0,4.57327,8.18107
-100.25,28.0,100.0,4.56253,8.16178
-100.0,28.0,100.0,4.56986,8.17482
-99.75,28.0,100.0,4.56353,8.16578
-99.5,28.0,100.0,4.55225,8.14622
-99.25,28.0,100.0,4.53415,8.11379
-99.0,28.0,100.0,4.49675,8.04525
-98.75,28.0,100.0,4.48136,8.01728
-98.5,28.0,100.0,4.47696,8.00892
-98.25,28.0,100.0,4.48686,8.02671
-98.0,28.0,100.0,4.50791,8.0649
-97.75,28.0,100.0,4.52669,8.09922
-97.5,28.0,100.0,4.52518,8.09621
-82.75,28.0,100.0,4.58828,8.2106
-82.5,28.0,100.0,4.58804,8.2102
-82.25,28.0,100.0,4.58946,8.21273
-82.0,28.0,100.0,4.59666,8.22178
-81.75,28.0,100.0,4.60449,8.2361
-81.5,28.0,100.0,4.61422,8.25326
-81.25,28.0,100.0,4.58851,8.20667
-81.0,28.0,100.0,4.56059,8.15587
-80.75,28.0,100.0,4.54386,8.12586
-80.5,28.0,100.0,4.55115,8.13931
-100.5,28.25,100.0,4.54009,8.12469
