Network,Station,CoveredEpicentralDistances,UncoveredEpicentralDistances,EpiDistRatio,Accepted,faceLon,faceLat,AcceptedNumeric,nrec,BazRatio,AvgSNR
7A,PAUL,4,57,0.0655737704918033,No,-84.5,41.1,0,4,0.0110803324099723,12.3519247441645
7A,PETO,5,56,0.0819672131147541,Yes,-80.3,39.2,1,5,0.0138504155124654,9.00232476077832
7A,PVGR,13,48,0.213114754098361,Yes,-81.4,39.6,1,14,0.03601108033241,17.8163438040786
7A,RTSN,12,49,0.19672131147541,No,-79.6,38.9,0,12,0.0332409972299169,19.6121606076307
7A,SUSI,9,52,0.147540983606557,Yes,-83.2,40.4,1,11,0.0304709141274238,16.2146213142741
7A,TRTF,4,57,0.0655737704918033,Yes,-79.0,38.6,1,4,0.0110803324099723,7.82095837334557
7A,WINE,21,40,0.344262295081967,Yes,-78.3,38.2,1,31,0.0554016620498615,18.3883539760317
7A,WIRE,9,52,0.147540983606557,Yes,-79.8,38.9,1,11,0.0277008310249307,10.9174408429081
7A,WLFT,23,38,0.377049180327869,No,-78.1,38.2,0,33,0.0609418282548476,15.5731676053169
7A,WTMN,16,45,0.262295081967213,No,-78.5,38.3,0,21,0.038781163434903,13.5605201650784
7A,YLDA,15,46,0.245901639344262,No,-77.8,37.9,0,16,0.0332409972299169,15.3463164601339
AE,113A,1,60,0.0163934426229508,No,-113.8,32.8,0,1,0.002770083102493,7.86137348616329
AE,319A,14,47,0.229508196721311,Yes,-109.3,31.4,1,31,0.0554016620498615,10.2413473775888
AE,U15A,6,55,0.0983606557377049,No,-112.3,36.4,0,14,0.0332409972299169,21.0342881141516
AE,W13A,11,50,0.180327868852459,No,-113.9,35.1,0,18,0.0304709141274238,17.5689473375552
AE,X16A,16,45,0.262295081967213,Yes,-111.4,34.4,1,30,0.0470914127423823,12.5648540423314
AE,X18A,12,49,0.19672131147541,Yes,-110.0,34.5,1,25,0.0415512465373961,17.0195504289164
AE,Y14A,14,47,0.229508196721311,No,-113.0,33.9,0,22,0.038781163434903,11.9376981224423
AK,A19K,17,44,0.278688524590164,Yes,-161.1,70.2,1,22,0.0415512465373961,9.21694407118648
AK,A21K,33,28,0.540983606557377,No,-156.6,71.3,0,58,0.10803324099723,12.9677669331973
AK,A22K,26,35,0.426229508196721,Yes,-155.0,71.0,1,39,0.0692520775623269,10.6859232491048
AK,ANM,48,13,0.786885245901639,No,-165.4,64.6,0,182,0.25207756232687,15.3542083372764
AK,B18K,17,44,0.278688524590164,Yes,-161.8,69.4,1,22,0.0443213296398892,8.81229094292063
AK,B20K,28,33,0.459016393442623,No,-157.2,70.0,0,40,0.07202216066482,10.5042275183995
AK,B22K,16,45,0.262295081967213,Yes,-153.4,70.3,1,22,0.0415512465373961,10.1844630773673
AK,BGLC,19,42,0.311475409836066,No,-143.3,60.1,0,30,0.0692520775623269,13.6644778387376
AK,BMR,58,3,0.950819672131147,No,-144.6,61.0,0,397,0.351800554016621,14.5858245469171
AK,BPAW,60,1,0.983606557377049,No,-151.0,64.1,0,238,0.296398891966759,15.2469798044185
AK,BRSE,29,32,0.475409836065574,No,-150.7,59.7,0,80,0.14404432132964,14.3235544512065
AK,C16K,29,32,0.475409836065574,Yes,-165.3,68.3,1,40,0.074792243767313,11.7179012947852
AK,C18K,8,53,0.131147540983607,Yes,-161.2,68.6,1,10,0.0221606648199446,14.8929747773134
AK,C19K,26,35,0.426229508196721,Yes,-159.6,69.1,1,42,0.0775623268698061,11.5150628313869
AK,C21K,21,40,0.344262295081967,No,-154.8,69.2,0,29,0.0581717451523546,12.3959481576048
AK,C23K,24,37,0.39344262295082,Yes,-150.6,69.8,1,34,0.0775623268698061,10.7291732018878
AK,C26K,25,36,0.409836065573771,No,-144.9,69.9,0,34,0.0637119113573407,12.0683207797024
AK,C27K,28,33,0.459016393442623,No,-143.7,69.6,0,52,0.0914127423822715,11.9686537028779
AK,CAPN,12,49,0.19672131147541,No,-151.2,60.8,0,21,0.0498614958448753,11.5288861104704
AK,CAST,53,8,0.868852459016393,No,-152.1,63.4,0,202,0.265927977839335,14.2502084122907
AK,CHI,8,53,0.131147540983607,Yes,-155.6,55.8,1,8,0.0221606648199446,12.9949587195975
AK,CHN,26,35,0.426229508196721,No,-159.6,54.8,0,39,0.0941828254847645,12.5146832585382
AK,CHUM,60,1,0.983606557377049,No,-152.3,63.9,0,280,0.310249307479224,13.6366517866552
AK,CRQ,36,25,0.590163934426229,No,-143.1,60.8,0,79,0.130193905817175,12.8387487107133
AK,CTG,35,26,0.573770491803279,Yes,-141.3,61.0,1,87,0.157894736842105,15.2359873713242
AK,CUT,42,19,0.688524590163934,No,-150.3,62.4,0,106,0.188365650969529,12.2837544031717
AK,D17K,30,31,0.491803278688525,Yes,-163.1,67.7,1,46,0.0831024930747922,11.7321616856167
AK,D20K,30,31,0.491803278688525,Yes,-156.6,68.7,1,42,0.07202216066482,13.0175849071893
AK,D22K,29,32,0.475409836065574,No,-152.7,68.9,0,50,0.0831024930747922,12.0158017896451
AK,D24K,10,51,0.163934426229508,No,-148.8,69.2,0,12,0.0193905817174515,11.9179500461796
AK,D25K,20,41,0.327868852459016,No,-146.4,69.3,0,22,0.0526315789473684,13.4030058096729
AK,DHY,52,9,0.852459016393443,No,-147.4,63.1,0,238,0.260387811634349,13.4002376403747
AK,E18K,12,49,0.19672131147541,No,-160.6,67.4,0,18,0.0277008310249307,12.9394399032979
AK,E19K,40,21,0.655737704918033,Yes,-157.2,67.5,1,74,0.124653739612188,11.4195430186307
AK,E21K,13,48,0.213114754098361,No,-154.0,68.4,0,22,0.0415512465373961,10.6515464056116
AK,E24K,31,30,0.508196721311475,No,-148.5,68.1,0,53,0.0831024930747922,11.8235389902108
AK,E25K,1,60,0.0163934426229508,No,-145.6,68.1,0,1,0.002770083102493,2.14656081415554
AK,E27K,33,28,0.540983606557377,Yes,-141.6,68.2,1,57,0.0941828254847645,12.7647058806566
AK,EYAK,58,3,0.950819672131147,No,-145.8,60.5,0,418,0.362880886426593,13.5675615976677
AK,F15K,28,33,0.459016393442623,Yes,-164.6,65.7,1,44,0.0775623268698061,12.4258621989087
AK,F18K,24,37,0.39344262295082,Yes,-159.7,66.6,1,37,0.0692520775623269,9.77382714630261
AK,F20K,28,33,0.459016393442623,No,-155.7,67.0,0,48,0.0831024930747922,12.4753271003205
AK,F21K,37,24,0.60655737704918,No,-153.5,67.2,0,57,0.105263157894737,13.2305744661649
AK,FALS,42,19,0.688524590163934,No,-163.4,54.9,0,110,0.185595567867036,11.9311962970896
AK,G17K,31,30,0.508196721311475,Yes,-160.7,65.5,1,55,0.0969529085872576,12.4148052366488
AK,G19K,37,24,0.60655737704918,No,-157.1,66.1,0,63,0.105263157894737,11.6827254158505
AK,G23K,32,29,0.524590163934426,Yes,-150.0,66.7,1,62,0.0969529085872576,13.3551827324757
AK,G24K,29,32,0.475409836065574,Yes,-147.5,66.7,1,50,0.0803324099722992,11.6140546162853
AK,G27K,23,38,0.377049180327869,No,-141.7,66.8,0,33,0.0609418282548476,14.8293328839939
AK,GAMB,55,6,0.901639344262295,No,-171.7,63.8,0,199,0.271468144044321,14.2274239503639
AK,GCSA,47,14,0.770491803278688,No,-156.9,64.7,0,161,0.207756232686981,13.0515101759276
AK,GLI,52,9,0.852459016393443,No,-147.1,60.9,0,228,0.263157894736842,14.1832271787661
AK,H16K,32,29,0.524590163934426,Yes,-162.2,64.6,1,52,0.102493074792244,11.0893417904905
AK,H17K,28,33,0.459016393442623,No,-159.9,64.9,0,54,0.102493074792244,12.369813472739
AK,H20K,30,31,0.491803278688525,No,-154.9,65.5,0,46,0.0831024930747922,12.9406180397771
AK,H21K,33,28,0.540983606557377,Yes,-152.8,65.7,1,51,0.0997229916897507,12.6983834539651
AK,H22K,45,16,0.737704918032787,Yes,-151.4,65.9,1,81,0.130193905817175,15.3456217417003
AK,H23K,33,28,0.540983606557377,Yes,-149.5,65.8,1,64,0.121883656509695,12.6798917156553
AK,H24K,35,26,0.573770491803279,No,-147.9,65.8,0,70,0.110803324099723,11.3964990881954
AK,HOM,31,30,0.508196721311475,No,-151.7,59.7,0,73,0.152354570637119,10.3949997830372
AK,I21K,25,36,0.409836065573771,No,-152.0,65.2,0,38,0.0637119113573407,13.6558217738973
AK,I23K,36,25,0.590163934426229,No,-149.4,65.1,0,55,0.102493074792244,13.3990657964641
AK,I26K,17,44,0.278688524590164,No,-143.2,65.3,0,22,0.0554016620498615,13.6942562645836
AK,I27K,40,21,0.655737704918033,No,-141.6,65.6,0,74,0.132963988919668,13.309661054389
