S18A	37.700000	-110.000000
G15A	45.200000	-112.500000
219A	32.000000	-109.300000
J55A	43.300000	-77.800000
J10A	43.400000	-116.800000
B08A	48.400000	-119.300000
OSI	34.600000	-118.700000
G54A	45.400000	-78.100000
K37A	42.800000	-93.600000
N39A	40.900000	-92.500000
534A	30.000000	-98.500000
Q31A	39.000000	-99.400000
UCCT	41.800000	-72.200000
449A	30.800000	-87.200000
E03A	46.500000	-123.600000
H62A	44.600000	-71.200000
Z22A	33.300000	-107.000000
D52A	47.000000	-78.400000
LRIV	48.100000	-123.500000
ALLY	41.600000	-80.100000
C13A	47.700000	-114.600000
FOR	40.900000	-73.900000
D06A	47.200000	-120.800000
ELK	40.700000	-115.200000
U12A	36.400000	-114.500000
W25A	35.200000	-104.500000
MONP	32.900000	-116.400000
450A	30.800000	-86.600000
C36A	47.800000	-92.800000
Q58A	38.900000	-77.700000
320A	31.300000	-108.500000
T41A	37.000000	-91.800000
F64A	45.900000	-68.300000
IRON	43.400000	-118.500000
218A	32.000000	-110.000000
E62A	46.600000	-69.500000
C37A	47.700000	-92.200000
H65A	44.700000	-68.200000
EDW	34.900000	-118.000000
G61A	45.300000	-71.500000
J60A	43.200000	-73.400000
G09A	45.300000	-117.800000
Y13A	33.800000	-113.800000
H53A	44.600000	-78.600000
LSON	45.400000	-121.600000
C14A	47.800000	-113.700000
G65A	45.200000	-67.600000
S09A	37.700000	-117.200000
H09A	44.700000	-117.700000
N18A	41.000000	-109.700000
V57A	35.900000	-79.800000
F42A	45.800000	-88.100000
552A	30.100000	-85.300000
L64A	41.900000	-70.800000
LBDL	37.800000	-77.600000
U14A	36.400000	-113.200000
M18A	41.400000	-110.100000
H24A	44.700000	-104.600000
L42A	42.000000	-89.700000
HRV	42.500000	-71.600000
P32A	39.600000	-98.600000
TUL1	35.900000	-95.800000
M44A	41.400000	-88.000000
C09A	47.800000	-118.300000
349A	31.400000	-87.200000
R18A	38.400000	-109.900000
Z51A	33.300000	-85.200000
H40A	44.600000	-90.400000
BABR	44.600000	-123.800000
F64A	45.900000	-68.300000
M35A	41.500000	-95.700000
O48A	40.300000	-85.200000
PKME	45.300000	-69.300000
V59A	35.800000	-78.200000
W23	32.500000	-83.900000
W22	32.400000	-83.900000
W21	32.400000	-83.900000
HLID	43.600000	-114.400000
R06C	38.500000	-119.500000
E64A	46.400000	-67.800000
BNLO	37.100000	-122.200000
F40A	45.900000	-90.100000
K47A	42.700000	-85.000000
Y12C	33.800000	-114.500000
G28A	45.100000	-100.900000
E50A	46.400000	-80.700000
V15A	35.800000	-112.200000
K14A	42.500000	-113.200000
G64A	45.300000	-68.800000
P24A	39.500000	-104.900000
B11A	48.400000	-116.400000
P60A	39.800000	-75.600000
K36A	42.600000	-94.500000
X21A	34.400000	-107.800000
D08A	47.100000	-118.900000
VBMS	32.200000	-90.500000
L61B	42.400000	-72.700000
H22A	44.600000	-106.400000
L41A	42.100000	-90.500000
O36A	40.100000	-95.000000
NEE2	34.800000	-114.600000
I42A	43.900000	-88.900000
TASO	34.900000	-106.500000
TASN	34.900000	-106.500000
O42A	40.200000	-90.100000
L10A	42.100000	-116.500000
H41A	44.600000	-89.700000
WUPA	39.900000	-75.600000
E13A	46.400000	-114.200000
MNV	38.400000	-118.200000
216A	32.000000	-111.500000
O49A	40.200000	-84.300000
LTX	29.300000	-103.700000
M60A	41.300000	-74.600000
Z36A	33.300000	-96.400000
D58A	47.100000	-72.900000
LKL	34.600000	-117.800000
J41A	43.400000	-90.000000
PAL	41.000000	-73.900000
U34A	36.400000	-97.500000
DOSE	47.700000	-123.000000
H61A	44.500000	-71.900000
M34A	41.500000	-96.600000
I04A	43.800000	-122.400000
MCVT	44.000000	-73.000000
I63A	44.100000	-70.600000
DWPF	28.100000	-81.400000
MSO	46.800000	-113.900000
DGR	33.700000	-117.000000
S49A	37.800000	-85.300000
I42A	43.900000	-88.900000
X38A	34.700000	-94.800000
G62A	45.200000	-70.500000
MCCM	38.100000	-122.900000
FRNY	44.800000	-73.600000
M33A	41.600000	-97.200000
N58A	40.800000	-76.700000
D47A	47.100000	-83.100000
O01C	40.100000	-123.800000
LOHW	43.600000	-110.600000
NPNY	41.800000	-74.100000
X16A	34.400000	-111.400000
Y54A	33.900000	-82.700000
L47A	42.000000	-85.200000
H66A	44.800000	-67.300000
Q44A	38.900000	-89.000000
